date,campaign_id,campaign_name,adset_name,ad_name,account_name,country,clicks,imps,spend,purchase_total,purchase_total_value,CTR
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,37aaae009d715426bb337ffda03780e87ba129ee7187fd3f2e9807814edd118c,9abfd9751dee219db526edc7485debc996f04db9a73731cdbb415c21557ff50e,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,297,13055,98.14,3,123.88,2.274990425124473
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,cf1d7ea1408ead850391b62fba590706ece62021cc88751fd11db7fdf72f173b,a3cf9f8754a949c2858a9a6304adca03f206f577139098a528ef1d1027721d93,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,0,0,0.0,1,49.0,0.0
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,cf1d7ea1408ead850391b62fba590706ece62021cc88751fd11db7fdf72f173b,2803b8930ea212bc4a3c86a620db24a7c754868ec0eb6d4abb51928e801489c0,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,260,19876,149.51,4,323.0,1.3081102837593075
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,2ebc4a6b220867f72227892e5675efc7ca70317016a2e7d70e388022485d581d,a3cf9f8754a949c2858a9a6304adca03f206f577139098a528ef1d1027721d93,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,32,3240,17.65,1,4.0,0.9876543209876544
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,2ebc4a6b220867f72227892e5675efc7ca70317016a2e7d70e388022485d581d,af012311d64866740c9b01898e699194907996d8a730c32e21957f1d99781998,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,1,511,3.51,1,59.0,0.1956947162426614
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,2ebc4a6b220867f72227892e5675efc7ca70317016a2e7d70e388022485d581d,42fb3371a5dedb3b6e40845fd2fc5f677e1598e3079f2f909143c1047b19444b,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,0,1284,6.78,2,107.8,0.0
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,2ebc4a6b220867f72227892e5675efc7ca70317016a2e7d70e388022485d581d,15521d51e5b72decf4e89782a8e47a7599a9e00481ac1a730f0193372c56f673,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,25,2350,15.32,2,114.0,1.0638297872340423
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,2ebc4a6b220867f72227892e5675efc7ca70317016a2e7d70e388022485d581d,6b35beedcaef8a2f031a2fcc0d741801bdc17f4cdafe32a2db56070cd75a31fa,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,57,5467,26.43,1,59.0,1.0426193524785072
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,65b8d3db6b09f700054a351a70a5394425d57672a0a997f0e646c0eb9b70dc2c,40f342525415c8922ea745042cc4f76a184ebb548e486aa78d682d273551a6a7,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,64,4520,45.6,1,29.0,1.415929203539823
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,9af2a507e7e674c36d2234e1a57bf905522e8f2a64ce73a99d8807ce98a69a70,dffdf6ba13db10b56269a0d7fee246e2c3ca017fef0e2f499a27663f7105666e,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,0,0,0.0,1,89.0,0.0
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,9af2a507e7e674c36d2234e1a57bf905522e8f2a64ce73a99d8807ce98a69a70,b4362e129bfa1b0af4f1e85f430de2d854b98dd34286d46239d2bcd62b83b6df,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,219,12139,116.94,2,38.6,1.8041024796111709
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,9af2a507e7e674c36d2234e1a57bf905522e8f2a64ce73a99d8807ce98a69a70,e9c5394d03b3d60c65dd6ccf5c23270ee3f2c30e40bf5a76fbd949072346b79b,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,108,5624,60.9,3,294.0,1.9203413940256049
2024-06-27,6593147510731,13c69fcd83c6dd8ff6f82711690cf0e78189e9dbce5c242f5ec59ec2fd79f0d0,32ae9297ac8d6678a4d32840114dceb0666ff834b008342d77bd5755e2cc8314,ea3dd2d2c0e754566ed7d25e938a473f86d723497c706eda834625236c777a21,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,eb5442705969dc8da5dfac8f9658dc68acdab5bb7635ba7cc551e389416ac34e,9,2689,10.86,1,39.2,0.334696913350688
2024-06-27,6593147510731,13c69fcd83c6dd8ff6f82711690cf0e78189e9dbce5c242f5ec59ec2fd79f0d0,fb051b927916a1ed62086a0c1ebd58d8d0b7b6f170856d8b8ca68b683a9ee4a9,5947515cbeb72b216a2af07674c4d02963eea3bc68630b391509574103bc037c,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,eb5442705969dc8da5dfac8f9658dc68acdab5bb7635ba7cc551e389416ac34e,29,6242,30.13,2,155.2,0.4645946811919256
2024-06-27,6593147510731,13c69fcd83c6dd8ff6f82711690cf0e78189e9dbce5c242f5ec59ec2fd79f0d0,32ae9297ac8d6678a4d32840114dceb0666ff834b008342d77bd5755e2cc8314,f7e7efafd19afc2800297233ab86558ed15a15f58f8ec2b8d74247d2dc3c35e0,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,eb5442705969dc8da5dfac8f9658dc68acdab5bb7635ba7cc551e389416ac34e,23,2913,13.76,1,39.2,0.789564023343632
2024-06-27,6593147510731,13c69fcd83c6dd8ff6f82711690cf0e78189e9dbce5c242f5ec59ec2fd79f0d0,dc9845ac6f24196a1ddc21b4104d5e8ff253e46a58ec8f69353d834ba74f026c,0adec9dcb90215b969111442bc9f0572fc98a516930066ba7abba0cb7515bfc3,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,eb5442705969dc8da5dfac8f9658dc68acdab5bb7635ba7cc551e389416ac34e,30,4078,17.7,1,89.0,0.7356547327121138
2024-06-27,6593178328331,685192211dbc42d5b8300e104b0cff687854137eed8632081e386e0875a41e71,b287f2a81beace87f2dcaa9c6f7310861c08b621368204b8e116727727a9a458,d867d4aa8e22019263b488bcfe608ccb6cd9f3d4f5d66d529e3f6d7896035ad1,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,7,1678,7.39,1,67.83,0.4171632896305125
2024-06-27,6593178328331,685192211dbc42d5b8300e104b0cff687854137eed8632081e386e0875a41e71,627a7f6bf73a79880d5ca9cb84ce5afafc097e5842d1a6b479bb1ba631518ebc,2c45066110dce1aecb0c21eaf542955da0a20c470ea68b288262080bf6354a86,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,16,3398,26.6,1,72.0,0.4708652148322542
2024-06-27,6593178328331,685192211dbc42d5b8300e104b0cff687854137eed8632081e386e0875a41e71,9c6cdad82dad119ca435d7353c81024024108414cd084fad663374c49a619cb4,0a4255dc27e1e380995c7d0dfc3ecbe212cd69abe2990741f3c7125afb401fd6,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,0,0,0.0,1,832.75,0.0
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,c8ffc855c43dd1c5335249853e47eef3c485eb8c39febbdffe44531f1a9175bc,1f0ddfd94406c7fa6d63cb3c478768b9d1ef23965a8deb2648606473fd22faba,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,f078492902275dd3cfc4e676148aea2ee4f88b88e4886f6628d3bfdb6eb5df20,2,777,3.13,2,62.4,0.2574002574002574
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,e37cbec48cb806b48833afd0da12823a4baf6b2b65f6d95266a787c6d2771921,b8e2543bb18edb44d1a335379ea89f06e1bee057c24740f2520ba48c56cb3c42,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,12,1722,10.335294,1,94.61,0.6968641114982579
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,e9d283dc82649e340c223d0e50b5e2a053c897a9b2959420f6a2b618e505af9b,ef4de1ef6ee1e36eae8c3edd3a06528218c521e29f5f2e42fdbacc28b21841dd,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,242,12749,78.787047,1,75.84,1.8981880931837791
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,532350b1cf8fd80b69d49fb6e15219de461eb5e9add5845025346eb20251ce1e,afe6f73e52089bde48491bc6e68853da6be51e4b898ab71fafeca2bba86d6665,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,51,3316,37.591583,1,23.65,1.537997587454765
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,c8ffc855c43dd1c5335249853e47eef3c485eb8c39febbdffe44531f1a9175bc,1aa7fcec0151949697e2f5a81394f0ff809fc8360d52ac60c50c490b6d5ed4a4,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,12,4130,30.837347,1,140.74,0.2905569007263922
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,c8ffc855c43dd1c5335249853e47eef3c485eb8c39febbdffe44531f1a9175bc,5e8f26ffecc4abef034d9f21ab94576ed18f5566be0cf9921298043ef1c964a8,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,20,6025,35.246216,3,338.24,0.3319502074688796
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,8f71134f018abec1f60f69f1d909f41643e206208373075438f31f5f6c53b5f4,c208f6331496e461302994d94ef92b4f06f3980957a31cd89e6883cfaa7d8353,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,93,8659,60.451006,2,373.72,1.0740270239057628
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,1e77794fe59ed37bfc62cb2ad4c0cc7456e0993a9ab9a67426932316007d9527,7071e7e28bf1ec8de19060b092100b92ff6ed06df89cdf2721b2ac56b5538a22,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,76,2161,15.24,1,159.66,3.5168903285515967
2024-06-27,6593385961531,db00d9e4631c08b7ee91c74fe682720d142899a41e11629ecc54f6ce351b9573,1e77794fe59ed37bfc62cb2ad4c0cc7456e0993a9ab9a67426932316007d9527,03b8a6c203b9718bcd3ae9707be7ef25a10f842c9f2f7c290d331982a9baad89,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,61,2011,22.26,2,43.52,3.0333167578319244
2024-06-27,6593415310331,6f1e85ab8cb949f0c2a13ef1ada76ceafcf75d3406aa32bcd7cf50852892974e,0fc0b43969642a9436807c1193820f7b8764abe31854c71df280d948655097b4,5772fdffdd238dbcd235b5d64abb499a101cb70fa3bd729798d4346384718a5a,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,501c26b2571a1f7fd72df8c21593874fc874c97145717470596895d1c22203f7,59,4022,21.44,1,41.3,1.4669318746892095
2024-06-27,6593415310331,6f1e85ab8cb949f0c2a13ef1ada76ceafcf75d3406aa32bcd7cf50852892974e,0fc0b43969642a9436807c1193820f7b8764abe31854c71df280d948655097b4,14efbdb9cebc6d30a3cab5d0e810d4feeea42c348b889c9d559edf5f20f11e6c,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,501c26b2571a1f7fd72df8c21593874fc874c97145717470596895d1c22203f7,42,4731,26.92,2,108.0,0.8877615726062142
2024-06-27,6593415310331,6f1e85ab8cb949f0c2a13ef1ada76ceafcf75d3406aa32bcd7cf50852892974e,6b03d7bbeb46da0cf7cea49124622a6b39b6147b888c27096bf2c4d3ca5de24d,d53f6cb2c26c4019da997e1217ab9fc630bf50c39c9b598b814cbfbffad9d97e,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,501c26b2571a1f7fd72df8c21593874fc874c97145717470596895d1c22203f7,15,654,4.98,1,149.0,2.293577981651376
2024-06-27,120207506726180147,21ba9ac957c1f5a7942f6d8f4250131ec893f13ad122bf7d6abefea07e9edb18,e6c0d040b8f863294d21f03dfd6a272c544fbf536bf5d41ac07fbc0c3f05240f,b92250309a474cc23c607bd2ea58211634208235c32c1e0d95df81c790317d49,613689d4886b763532a77241c71579ac23a48f6ed5c9aaa757ff48b2bc371ace,bb1c202965ca241975a90c4d4db43001bad7ee64ba9b4411be5d2010ac8db164,3,2419,35.56,1,340.0,0.1240181893344357
2024-06-27,23852059773990245,d980e5c7878a518d336fe59f221d0cec5846976dfb361578e526b9d2633c16fe,a0ac820ad72178916da012d24678c2e3d68e135eb5c3cba53e7329fd04735729,039f06bb654ac09b5f8351e6a11abae6e3a76a3a7ca72bfabb4710aaa6b4a3d9,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,79,8569,72.74,1,194.5,0.9219278795658772
2024-06-27,23853477225750245,37b6c41797ac658eddf156b7ddc8510ea165753ee56f0d738ee4d7358d9ca01f,e30fb5a3f94dd158fe5f6cdca58d7415ffde8fd4c4641c3da614b9def90f8bd6,79ff45ee31e23ef457ebb711ce87851d9c127279642402b358505ab3ce058c53,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,21,1138,15.02,1,82.96,1.845342706502636
2024-06-27,23853477230890245,2964ae3c0066bae474c012c523f038feee41eb02b3afe4c0894c34671ed4f802,186cac59160df7f428346d83c4f4c0b854e68866212bca84828b4643f8553b2c,6b027cbd74e4946fe4ad45a9e688a9f7cd846048ca55e1d15e3231de207ca10b,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,7,3267,19.55,1,74.5,0.2142638506274869
2024-06-27,23853477230890245,2964ae3c0066bae474c012c523f038feee41eb02b3afe4c0894c34671ed4f802,a785ec3f94800dbc062710d02278893ff09e21c0283206d7a9ea9b41daf52ff9,16312af28581d54f05c5eee0fed0a185c464f3e67280767999cf6278dca90462,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,10,2685,19.75,1,120.0,0.37243947858473
2024-06-27,23853477230890245,2964ae3c0066bae474c012c523f038feee41eb02b3afe4c0894c34671ed4f802,4389c737e074cab809f87f89a17f9bad895be6978c25808d76ef5ef9672681b9,bf45bd4c857baa846d8055fe925b4e73928e783f1c44008aabad8062771f9a5f,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,3,901,6.36,2,235.0,0.3329633740288568
2024-06-27,23853477230890245,2964ae3c0066bae474c012c523f038feee41eb02b3afe4c0894c34671ed4f802,515745abd304c4991f3f1447b71f6e249ab80f6ce544a7d7537d48943b986b78,16eedece981967b3458931295cae1f50f0eb0b468b29129a2bd2cf830b8739bd,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,141,5752,66.12,1,152.5,2.451321279554937
2024-06-27,23853477230890245,2964ae3c0066bae474c012c523f038feee41eb02b3afe4c0894c34671ed4f802,515745abd304c4991f3f1447b71f6e249ab80f6ce544a7d7537d48943b986b78,c147783da6ed2ae146f79c6c90854e68a94c006585d69a37326142870d0cbc5e,4f43c8db6c11029f6272df452d56b4a4e72fdd02a49abd9abad54af2f0fe08d8,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,38,1315,16.77,1,34.5,2.8897338403041823
2024-06-27,120206723879730446,d75d7df1fd98429d9362a845c41d05e71ecfb46ba66ac08219d98f53088c06f9,e0b450d853975bdec84db1e8c41615c7d78f8404ac42a953330c87a46b8e3931,ce73fd8bffc3147c9e16d1b4ae14540f71b51d0cc2445574e1a6d69331439495,d6fda5e00ffea88db21cf1cd38f778d3d049d98e8fe5740ed0e2062c379d0734,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,0,0,0.0,1,119.0,0.0
2024-06-27,120206723879730446,d75d7df1fd98429d9362a845c41d05e71ecfb46ba66ac08219d98f53088c06f9,3e9b892891c51b1f26dcda601f5c4bdfe8651234dfe48e6fc5aad2d40119f071,b8ffe1c0ece30b97570293f46e4331bc40b7479a07f481b8d4729fbb089a0e38,d6fda5e00ffea88db21cf1cd38f778d3d049d98e8fe5740ed0e2062c379d0734,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,64,10464,89.28,1,119.0,0.6116207951070336
2024-06-27,120206723879730446,d75d7df1fd98429d9362a845c41d05e71ecfb46ba66ac08219d98f53088c06f9,e0b450d853975bdec84db1e8c41615c7d78f8404ac42a953330c87a46b8e3931,1c50d68e7f6b954f018c8a55c9a191e588bf2690cdbf821509efa5eaea06cd0f,d6fda5e00ffea88db21cf1cd38f778d3d049d98e8fe5740ed0e2062c379d0734,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,3,419,7.27,1,89.0,0.7159904534606205
2023-05-19,23852059773990245,d980e5c7878a518d336fe59f221d0cec5846976dfb361578e526b9d2633c16fe,a0ac820ad72178916da012d24678c2e3d68e135eb5c3cba53e7329fd04735729,f2c8f83e3769a3a6dccc09ff8864f3b7c05808ea9fc2eb568e8e3256ca7defbe,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,169,13000,128.37,3,306.0,1.3
2023-05-19,23853477225750245,37b6c41797ac658eddf156b7ddc8510ea165753ee56f0d738ee4d7358d9ca01f,38a6a8f029fc051a2d5447bd172ae414206efe2386ddca8954281fb0515ac271,69ab09d32dd9a374dcfc38bea68437526eafa922e1f7d9afabe99a248c6675c4,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,9,7589,45.0,4,564.79,0.1185926999604691
2023-05-19,23853477230890245,2964ae3c0066bae474c012c523f038feee41eb02b3afe4c0894c34671ed4f802,725726b1cb978297f0dd7e823c23bf8dfd0274eff7f606de5a1793f18ddff27e,8cacb9744a1ae0358f941a819c93b5b406ef350dc730ef345c3588602db9dfbc,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,13,5962,48.08,1,67.15,0.2180476350218047
2024-01-02,23852076784030245,8981f6e12a7544c9cc045d49e9b3454ebd3a2daed95b9d5e5abe75a659f784cd,c4b10637f2bfcca94d200f376a9018bc6fbfd9e0b7f399d66a03b4ee4a1bfdcf,7317a75a058c164d19da82ff6e1b43f1298bc5807755cb494c594da26ff4ac63,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,19,2575,25.43,1,372.06,0.7378640776699029
